con_level,rps,98p,longest
200,10.77,31935,35490
10,10.42,1965,2244
15,10.57,3060,3472
80,10.56,13745,14651
20,10.48,3479,3925
150,10.6,25419,26608
30,10.43,6827,7660
100,10.48,14478,15651
300,10.68,36163,38528
50,10.46,8840,9532
250,10.54,35165,39648
