con_level,rps,98p,longest
200,79.69,6525,6527
10,17556.18,1,1
15,23648.12,1,1
80,32801.22,2,2
20,28050.49,1,1
150,28237.42,4,4
30,36403.35,1,1
100,31804.59,4,4
300,30641.01,8,8
50,32686.86,2,2
250,30639.13,6,6
