con_level,rps,98p,longest
200,11.82,22080,23735
10,10.64,1423,1498
15,10.67,2034,2283
80,10.72,8770,9034
20,10.68,2702,2833
150,11.61,16218,18267
30,10.68,3966,4078
100,10.58,12047,12999
300,11.93,35050,35136
50,10.61,6183,7406
250,12.19,27168,31523
